"ntree","accuracy","syst_time"
1,0.433798626698365,1.96000000000004
2,0.43393144116983,2.46999999999991
5,0.489248668534924,5.13999999999999
10,0.509834911611969,7.04999999999995
25,0.523435113489966,15.5
50,0.527153918690981,29.89
70,0.528747692348558,42.8099999999999
